Dataset;Accuracy;Accuracy_std;Edges;Edges_std;Rules;Rules_std
abalone;;;;;;
adult;;;;;;
appendicitis;0.8402597402597403;0.0865411167709447;296.0;0.0;98.4;0.0
australian;0.8666666666666666;0.0245094703265039;673.2;0.0;109.2;0.0
automobile;;;;;;
balance;0.8448;0.0108517279730004;281.6;0.0;109.2;0.0
banana;0.7735849056603774;0.0126429174096233;94.2;0.0;34.0;0.0
bands;0.6164383561643836;0.0474534467827089;1034.6;0.0;95.8;0.0
breast;;;;;;
bupa;0.6579710144927536;0.0416020292591516;303.4;0.0;87.6;0.0
car;;;;;;
census;;;;;;
chess;;;;;;
cleveland;0.5422033898305084;0.0430038149303852;700.4;0.0;122.2;0.0
coil2000;0.9333127594409292;0.0033648487348647;3098.0;0.0;117.6;0.0
contraceptive;0.5206618240516546;0.0367081007519902;296.8;0.0;66.4;0.0
crx;;;;;;
dermatology;0.955281690140845;0.028610209910594;1776.8;0.0;126.4;0.0
ecoli;0.8184372256365233;0.0239695188948023;419.8;0.0;105.6;0.0
flare;;;;;;
german;;;;;;
glass;0.6586932447397564;0.0573271299756959;600.2;0.0;112.2;0.0
haberman;0.7222633527234268;0.0269239870806904;127.4;0.0;66.6;0.0
heart;0.8481481481481481;0.0318604639520097;700.2;0.0;114.4;0.0
hepatitis;0.8;0.0467707173346742;246.4;0.0;74.4;0.0
housevotes;0.9569842738205364;0.035994591042264;170.8;0.0;76.0;0.0
ionosphere;0.9200804828973842;0.0500625941650487;1309.0;0.0;105.0;0.0
iris;0.9533333333333336;0.0339934634239518;283.8;0.0;105.0;0.0
kr-vs-k;;;;;;
led7digit;0.712;0.0479165942028437;364.8;0.0;121.6;0.0
letter;0.8271499999999999;0.0067037303048377;970.8;0.0;128.0;0.0
lymphography;;;;;;
magic;0.7139327024185069;0.0215083718359514;448.4;0.0;66.4;0.0
mammographic;0.7987951807228916;0.0105033709482907;256.4;0.0;85.0;0.0
marketing;0.3266418604651163;0.0150209887678139;717.8;0.0;125.0;0.0
monk-2;1.0;0.0;149.4;0.0;62.8;0.0
mushroom;;;;;;
newthyroid;0.9488372093023256;0.0426286111158683;377.0;0.0;111.8;0.0
nursery;;;;;;
optdigits;0.9647686832740212;0.0035853099074039;1679.0;0.0;128.0;0.0
page-blocks;0.9462719858422446;0.0087548239171996;660.2;0.0;121.8;0.0
penbased;0.975345522677402;0.0044794475639024;1040.0;0.0;128.0;0.0
phoneme;0.8325326343920239;0.007066527551137;385.6;0.0;79.4;0.0
pima;0.7408114761055937;0.0351070314985572;488.6;0.0;102.8;0.0
post-operative;;;;;;
ring;0.9195945945945946;0.0057492019962655;1526.2;0.0;119.4;0.0
saheart;0.6730014025245442;0.0515857412216127;449.6;0.0;101.4;0.0
satimage;0.8929292929292929;0.005884722992622;2605.4;0.0;122.8;0.0
segment;0.9528138528138528;0.0087011910139574;1448.0;0.0;124.8;0.0
shuttle;0.992379163185887;0.000895374728839;771.2;0.0;100.4;0.0
sonar;0.5865272938443671;0.048415480804733;1493.6;0.0;64.0;0.0
spambase;0.9145103373231772;0.0126197609714035;1705.8;0.0;98.0;0.0
spectfheart;0.790146750524109;0.0350198960466601;2657.4;0.0;88.8;0.0
splice;;;;;;
texture;0.9272727272727274;0.0100904995821902;2992.6;0.0;121.4;0.0
thyroid;0.945138888888889;0.0068746492615358;1149.4;0.0;118.6;0.0
tic-tac-toe;;;;;;
titanic;0.7796402803545661;0.0203817133788458;45.8;0.0;22.4;0.0
twonorm;0.952162162162162;0.0046499055497527;1108.4;0.0;125.2;0.0
vehicle;0.7151618517229378;0.0211508156241916;1272.8;0.0;123.6;0.0
vowel;0.805050505050505;0.0281381581357254;789.8;0.0;126.0;0.0
wdbc;0.9526005278683436;0.0180112720018156;1815.0;0.0;119.2;0.0
wine;0.966031746031746;0.0214690974807147;941.4;0.0;120.2;0.0
winequality-red;0.5966281347962382;0.0108031845834818;798.4;0.0;120.0;0.0
winequality-white;0.5410395864167934;0.0156133965492566;847.8;0.0;124.8;0.0
wisconsin;0.9531558608844998;0.0074160492708131;582.6;0.0;107.2;0.0
yeast;0.5707684957684958;0.025910671576546;634.2;0.0;118.2;0.0
zoo;0.93;0.0509901951359278;849.2;0.0;115.4;0.0
